TransactionID,ClientID,BirthYear,Amount,Profession,Department,Risk
4,34985,1923,5670,manager,78,Low
16,34997,1923,2399090,developer,78,High
25,35006,1923,33050,HR,78,High
12,34993,1939,23430,professor,78,Low
21,35002,1939,16770,manager,78,Low
11,34992,1944,21210,researcher,78,Medium
20,35001,1944,14550,student,78,Medium
3,34984,1945,3450,student,78,Medium
19,35000,1949,12330,barmen,78,High
9,34990,1953,16770,Manager,78,Medium
8,34989,1958,14550,HR,78,High
6,34987,1967,10110,Manager,78,Medium
15,34987,1967,30090,Manager,78,Low
24,34989,1967,27870,HR,78,Medium
27,35008,1967,41930,bdm,78,Low
28,35008,1967,46370,,78,High
29,35008,1976,50810,,78,Medium
5,34986,1978,7890,hr,78,High
17,34998,1978,7890,etudient,78,Medium
10,34991,1988,18990,BDM,78,Low
30,34991,1988,55250,BDM,78,High
18,34999,1988,10110,etudient,78,Low
23,34988,1999,25650,Manager,78,Low
14,34995,1999,27870,Hairdresser,78,Low
26,35007,1999,37490,etudient,78,Medium
1,34982,2013,12900,Student,78,Low
2,34983,2015,1230,barmen,78,High
13,34994,2017,25650,Driver,78,Medium
22,34987,,18990,sailer,78,High
7,34988,,12330,Manager,78,Medium